>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346
>AT3G32100 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:13096971-13097304 FORWARD LENGTH=79

>AT3G23470 | Symbols:  | Cyclopropane-fatty-acyl-phospholipid synthase | chr3:8415565-8418120 FORWARD LENGTH=461

>AT3G56050 | Symbols:  | Protein kinase family protein | chr3:20798322-20800706 REVERSE LENGTH=499

>AT3G19850 | Symbols:  | Phototropic-responsive NPH3 family protein | chr3:6898383-6901157 REVERSE LENGTH=554

>AT3G52090 | Symbols: ATRPB13.6, NRPB11, NRPD11, NRPE11 | DNA-directed RNA polymerase, RBP11-like | chr3:19318069-19318998 REVERSE LENGTH=116

>AT3G18460 | Symbols:  | PLAC8 family protein | chr3:6333048-6333948 REVERSE LENGTH=184

>AT3G52800 | Symbols:  | A20/AN1-like zinc finger family protein | chr3:19569806-19570318 FORWARD LENGTH=170

>AT3G18130 | Symbols: RACK1C_AT | receptor for activated C kinase 1C | chr3:6211109-6212371 REVERSE LENGTH=326

>AT3G21420 | Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr3:7541579-7543221 FORWARD LENGTH=364

>AT3G62600 | Symbols: ATERDJ3B, ERDJ3B | DNAJ heat shock family protein | chr3:23151038-23153346 REVERSE LENGTH=346

>AT3G22590 | Symbols: PHP, CDC73 | PLANT HOMOLOGOUS TO PARAFIBROMIN | chr3:8003999-8005452 FORWARD LENGTH=415

>AT3G54470 | Symbols:  | uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS) | chr3:20168285-20170245 REVERSE LENGTH=476

>AT3G52100 | Symbols:  | RING/FYVE/PHD-type zinc finger family protein | chr3:19319343-19322773 FORWARD LENGTH=696

>AT3G63260 | Symbols: ATMRK1 | Protein kinase superfamily protein | chr3:23373090-23374747 REVERSE LENGTH=391

>AT3G58760 | Symbols:  | Integrin-linked protein kinase family | chr3:21728756-21731740 FORWARD LENGTH=471

>AT3G45570 | Symbols:  | RING/U-box protein with C6HC-type zinc finger domain | chr3:16725094-16726116 REVERSE LENGTH=312

>AT3G60370 | Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr3:22315000-22316533 REVERSE LENGTH=242

>AT3G52780 | Symbols: ATPAP20, PAP20 | Purple acid phosphatases superfamily protein | chr3:19561525-19564195 REVERSE LENGTH=427

>AT3G01200 | Symbols: AtRP2, RP2 | PPDK regulatory protein 2 | chr3:69826-71348 REVERSE LENGTH=377

>AT3G61240 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr3:22666590-22669154 FORWARD LENGTH=498

>AT3G13180 | Symbols:  | NOL1/NOP2/sun family protein / antitermination NusB domain-containing protein | chr3:4236326-4239966 REVERSE LENGTH=523

>AT3G20330 | Symbols: PYRB | PYRIMIDINE B | chr3:7090354-7091904 REVERSE LENGTH=390

>AT3G16785 | Symbols: PLDP1, PLDZ1, PLDZETA1, PLD ZETA 1 | phospholipase D P1 | chr3:5711329-5718696 FORWARD LENGTH=1096

>AT3G03410 | Symbols:  | EF hand calcium-binding protein family | chr3:811324-811719 REVERSE LENGTH=131

>AT3G57330 | Symbols: ACA11 | autoinhibited Ca2+-ATPase 11 | chr3:21211655-21216375 REVERSE LENGTH=1025

>AT3G26060 | Symbols: ATPRX Q | Thioredoxin superfamily protein | chr3:9524807-9526123 FORWARD LENGTH=216

>AT3G54020 | Symbols: AtIPCS1 | Arabidopsis Inositol phosphorylceramide synthase 1 | chr3:20006098-20008020 FORWARD LENGTH=305

>AT3G19055 | Symbols:  | unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6592316-6592942 FORWARD LENGTH=113

>AT3G12960 | Symbols:  | unknown protein; Has 44 Blast hits to 44 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:4136546-4136806 FORWARD LENGTH=86

>AT3G62770 | Symbols: AtATG18a | Transducin/WD40 repeat-like superfamily protein | chr3:23218858-23221110 REVERSE LENGTH=425

>AT3G10980 | Symbols:  | PLAC8 family protein | chr3:3438810-3440501 FORWARD LENGTH=563

>AT3G42180 | Symbols:  | Exostosin family protein | chr3:14324300-14328644 REVERSE LENGTH=470

>AT3G18680 | Symbols:  | Amino acid kinase family protein | chr3:6427533-6429520 FORWARD LENGTH=339

>AT3G24068 | Symbols:  | Plant self-incompatibility protein S1 family | chr3:8692266-8692667 REVERSE LENGTH=133

>AT3G05741 | Symbols:  | Plant invertase/pectin methylesterase inhibitor superfamily protein | chr3:1701553-1702125 REVERSE LENGTH=190

>AT3G25597 | Symbols:  | unknown protein; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G26140.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:9306103-9306585 FORWARD LENGTH=160

>AT3G19184 | Symbols:  | AP2/B3-like transcriptional factor family protein | chr3:6637555-6639035 FORWARD LENGTH=277

>AT3G55646 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G39855.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:20645087-20646148 FORWARD LENGTH=146

>AT3G24093 | Symbols:  | Paired amphipathic helix (PAH2) superfamily protein | chr3:8701462-8702310 REVERSE LENGTH=282

>AT3G05327 | Symbols:  | Cyclin family protein | chr3:1517581-1518399 REVERSE LENGTH=212

>AT3G43833 | Symbols:  | unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:15687706-15688632 FORWARD LENGTH=226

>AT3G11773 | Symbols:  | Thioredoxin superfamily protein | chr3:3722989-3723441 REVERSE LENGTH=150

>AT3G20557 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G50930.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:7180140-7180731 FORWARD LENGTH=130

>AT3G44326 | Symbols:  | F-box family protein | chr3:16000933-16002024 REVERSE LENGTH=363

>AT3G45577 | Symbols:  | tRNA-intron endonucleases | chr3:16728910-16729266 FORWARD LENGTH=118

>AT3G60966 | Symbols:  | RING/U-box superfamily protein | chr3:22552718-22553137 FORWARD LENGTH=139

>AT3G27906 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G19240.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:10355861-10356424 REVERSE LENGTH=187

>AT3G51171 | Symbols:  | F-box and associated interaction domains-containing protein | chr3:19010856-19011626 FORWARD LENGTH=256

>AT3G23167 | Symbols: LCR39 | low-molecular-weight cysteine-rich 39 | chr3:8266218-8266585 REVERSE LENGTH=77

>AT3G48231 | Symbols: LCR48 | low-molecular-weight cysteine-rich 48 | chr3:17858379-17858823 REVERSE LENGTH=80

>AT3G50925 | Symbols:  | Defensin-like (DEFL) family protein | chr3:18925658-18926083 REVERSE LENGTH=90

>AT3G20997 | Symbols: LCR55 | low-molecular-weight cysteine-rich 55 | chr3:7362743-7363081 REVERSE LENGTH=76

>AT3G23165 | Symbols: LCR42 | low-molecular-weight cysteine-rich 42 | chr3:8264650-8265060 REVERSE LENGTH=77

>AT3G61182 | Symbols: LCR54 | low-molecular-weight cysteine-rich 54 | chr3:22647771-22648138 REVERSE LENGTH=76

>AT3G24508 | Symbols:  | Defensin-like (DEFL) family protein | chr3:8930156-8930544 FORWARD LENGTH=83

>AT3G23727 | Symbols: SCRL12 | SCR-like 12 | chr3:8544863-8545355 FORWARD LENGTH=92

>AT3G27503 | Symbols: SCRL19 | SCR-like 19 | chr3:10185960-10186499 REVERSE LENGTH=98

>AT3G42473 | Symbols: LCR47 | low-molecular-weight cysteine-rich 47 | chr3:14607143-14607867 FORWARD LENGTH=77

>AT3G27835 | Symbols:  | Gamma-thionin family protein | chr3:10321741-10322306 REVERSE LENGTH=79

>AT3G61175 | Symbols: LCR52 | low-molecular-weight cysteine-rich 52 | chr3:22642983-22643309 REVERSE LENGTH=77

>AT3G45093 | Symbols:  | Defensin-like (DEFL) family protein | chr3:16496811-16497290 FORWARD LENGTH=80

>AT3G43083 | Symbols: LCR33 | low-molecular-weight cysteine-rich 33 | chr3:15075840-15077221 REVERSE LENGTH=78

>AT3G43505 | Symbols: LCR30 | low-molecular-weight cysteine-rich 30 | chr3:15402413-15402799 REVERSE LENGTH=76

>AT3G61177 | Symbols: LCR53 | low-molecular-weight cysteine-rich 53 | chr3:22644470-22644791 REVERSE LENGTH=75

>AT3G33187 | Symbols:  | Defensin-like (DEFL) family protein | chr3:14020687-14021392 REVERSE LENGTH=88

>AT3G61172 | Symbols: LCR8 | low-molecular-weight cysteine-rich 8 | chr3:22641764-22642110 REVERSE LENGTH=74

>AT3G24513 | Symbols:  | Encodes a defensin-like (DEFL) family protein. | chr3:8933920-8934390 FORWARD LENGTH=85

>AT3G25265 | Symbols: LCR4 | low-molecular-weight cysteine-rich 4 | chr3:9202880-9203623 REVERSE LENGTH=81

>AT3G27831 | Symbols:  | Gamma-thionin family protein | chr3:10319481-10320092 REVERSE LENGTH=77

>AT3G23715 | Symbols: SCRL13 | SCR-like 13 | chr3:8536850-8537273 FORWARD LENGTH=95

>AT3G06985 | Symbols: LCR44 | low-molecular-weight cysteine-rich 44 | chr3:2205392-2205706 FORWARD LENGTH=70

>AT3G04945 | Symbols: LCR18 | low-molecular-weight cysteine-rich 18 | chr3:1369114-1369532 REVERSE LENGTH=76

>AT3G04903 | Symbols:  | Defensin-like (DEFL) family protein | chr3:1350510-1350989 FORWARD LENGTH=87

>AT3G17155 | Symbols:  | Cysteine-rich protein | chr3:5850792-5851278 FORWARD LENGTH=80

>AT3G04943 | Symbols: LCR41 | low-molecular-weight cysteine-rich 41 | chr3:1368248-1368678 REVERSE LENGTH=81

>AT3G10195 | Symbols:  | Putative membrane lipoprotein | chr3:3156630-3156976 REVERSE LENGTH=81

>AT3G20993 | Symbols: LCR56 | low-molecular-weight cysteine-rich 56 | chr3:7360559-7360897 REVERSE LENGTH=77

>AT3G04545 | Symbols:  | Cysteine-rich protein | chr3:1224966-1225325 FORWARD LENGTH=81

>AT3G05727 | Symbols:  | S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family | chr3:1693616-1693934 FORWARD LENGTH=80

>AT3G07005 | Symbols: LCR43 | low-molecular-weight cysteine-rich 43 | chr3:2212063-2212413 FORWARD LENGTH=78

>AT3G13403 | Symbols:  | Defensin-like (DEFL) family protein | chr3:4358537-4358826 REVERSE LENGTH=57

>AT3G12340 | Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr3:3925720-3929346 REVERSE LENGTH=499

>AT3G12345 | Symbols:  | unknown protein; LOCATED IN: chloroplast; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:3930333-3930893 REVERSE LENGTH=186

>AT3G01323 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:121120-121416 REVERSE LENGTH=98

>AT3G12977 | Symbols:  | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr3:4143832-4145860 FORWARD LENGTH=279

>AT3G13882 | Symbols:  | Ribosomal protein L34 | chr3:4574600-4575852 FORWARD LENGTH=147

>AT3G55677 | Symbols:  | Plant self-incompatibility protein S1 family | chr3:20663996-20664493 FORWARD LENGTH=165

>AT3G61898 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:22922700-22922870 FORWARD LENGTH=56

>AT3G18715 | Symbols: IDL4 | inflorescence deficient in abscission (IDA)-like 4 | chr3:6441067-6441348 FORWARD LENGTH=93

>AT3G02493 | Symbols: RTFL19, DVL2 | ROTUNDIFOLIA like 19 | chr3:516047-516184 REVERSE LENGTH=45

>AT3G18518 | Symbols: RTFL20, DVL7 | ROTUNDIFOLIA like 20 | chr3:6360135-6360296 FORWARD LENGTH=53

>AT3G55515 | Symbols: DVL8, RTFL7 | ROTUNDIFOLIA like 7 | chr3:20590923-20591162 FORWARD LENGTH=79

>AT3G63088 | Symbols: RTFL14, DVL14 | ROTUNDIFOLIA like 14 | chr3:23313053-23313199 FORWARD LENGTH=48

>AT3G46613 | Symbols: RTFL4, DVL15 | ROTUNDIFOLIA like 4 | chr3:17165791-17166225 FORWARD LENGTH=144

>AT3G14362 | Symbols: DVL19, RTFL10 | ROTUNDIFOLIA like 10 | chr3:4794181-4794327 REVERSE LENGTH=48

>AT3G23637 | Symbols: DVL21 | DVL family protein | chr3:8499727-8499888 REVERSE LENGTH=53

>AT3G23635 | Symbols: RTFL13 | ROTUNDIFOLIA like 13 | chr3:8497941-8498072 REVERSE LENGTH=43

>AT3G21460 | Symbols:  | Glutaredoxin family protein | chr3:7557567-7557875 REVERSE LENGTH=102

>AT3G04735 | Symbols: RALFL21 | RALF-like 21 | chr3:1292408-1292725 REVERSE LENGTH=105

>AT3G44718 | Symbols:  | Plant thionin family protein | chr3:16266111-16266314 REVERSE LENGTH=67

>AT3G45248 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16581929-16582273 FORWARD LENGTH=114

>AT3G24465 | Symbols:  | Plant thionin family protein | chr3:8894877-8895140 REVERSE LENGTH=87

>AT3G01327 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:116231-116548 REVERSE LENGTH=105

>AT3G45245 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16578384-16578734 FORWARD LENGTH=116

>AT3G27425 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:10151058-10151375 FORWARD LENGTH=105

>AT3G45243 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16575823-16576173 FORWARD LENGTH=116

>AT3G01324 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:122140-122448 REVERSE LENGTH=102

>AT3G44428 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16067393-16067725 REVERSE LENGTH=110

>AT3G01328 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:117254-117568 REVERSE LENGTH=104

>AT3G03272 | Symbols:  | Protein of unknown function (DUF1278) | chr3:763833-764195 REVERSE LENGTH=120

>AT3G01329 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:118873-119178 REVERSE LENGTH=101

>AT3G30385 | Symbols:  | Protein of unknown function (DUF784) | chr3:11988381-11988728 FORWARD LENGTH=115

>AT3G29152 | Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr3:11114112-11114426 REVERSE LENGTH=104

>AT3G42565 | Symbols:  | ECA1 gametogenesis related family protein | chr3:14683051-14683410 REVERSE LENGTH=119

>AT3G30383 | Symbols:  | Protein of unknown function (DUF784) | chr3:11984655-11985002 FORWARD LENGTH=115

>AT3G01331 | Symbols:  | ECA1 gametogenesis related family protein | chr3:119618-119917 REVERSE LENGTH=99

>AT3G29797 | Symbols:  | Protein of unknown function (DUF784) | chr3:11717613-11718083 FORWARD LENGTH=156

>AT3G30247 | Symbols:  | Protein of unknown function (DUF784) | chr3:11888221-11888697 REVERSE LENGTH=158

>AT3G22142 | Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr3:7803604-7808046 REVERSE LENGTH=1480

>AT3G45252 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16586074-16586364 FORWARD LENGTH=96

>AT3G11825 | Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr3:3731762-3732064 FORWARD LENGTH=100

>AT3G48208 | Symbols:  | Plant thionin family protein | chr3:17846073-17846342 FORWARD LENGTH=89

>AT3G48209 | Symbols:  | Plant thionin family protein | chr3:17847681-17847884 FORWARD LENGTH=67

>AT3G10185 | Symbols:  | Gibberellin-regulated family protein | chr3:3145579-3146199 FORWARD LENGTH=103

>AT3G01322 | Symbols:  | ECA1-like gametogenesis related family protein | chr3:114290-114604 FORWARD LENGTH=104

>AT3G63095 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:23315506-23316258 FORWARD LENGTH=250

>AT3G59455 | Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr3:21976840-21977130 FORWARD LENGTH=96

>AT3G48205 | Symbols:  | Encodes a Plant thionin family protein | chr3:17840654-17841257 FORWARD LENGTH=98

>AT3G45275 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16605894-16606238 FORWARD LENGTH=114

>AT3G01326 | Symbols:  | ECA1 gametogenesis related family protein | chr3:115359-115664 FORWARD LENGTH=101

>AT3G45285 | Symbols:  | ECA1 gametogenesis related family protein | chr3:16614566-16614901 FORWARD LENGTH=111

>AT3G17675 | Symbols:  | Cupredoxin superfamily protein | chr3:6042244-6042781 REVERSE LENGTH=106

>AT3G30387 | Symbols:  | Protein of unknown function (DUF784) | chr3:11992105-11992452 FORWARD LENGTH=115

>AT3G18840 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:6496198-6498234 FORWARD LENGTH=678

>AT3G23255 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 52 Blast hits to 52 proteins in 25 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink). | chr3:8311795-8312947 FORWARD LENGTH=224

>AT3G13437 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 4 Blast hits to 4 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:4376393-4376692 FORWARD LENGTH=70

>AT3G55490 | Symbols:  | GINS complex protein | chr3:20572171-20573415 REVERSE LENGTH=185

>AT3G22275 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 22 Blast hits to 22 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:7879207-7879754 REVERSE LENGTH=125

>AT3G13432 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 3 Blast hits to 3 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:4371482-4371862 FORWARD LENGTH=71

>AT3G59780 | Symbols:  | Rhodanese/Cell cycle control phosphatase superfamily protein | chr3:22086906-22090324 FORWARD LENGTH=686

>AT3G20395 | Symbols:  | RING/U-box superfamily protein | chr3:7112020-7113792 REVERSE LENGTH=223

>AT3G18535 | Symbols:  | tubulin-tyrosine ligases | chr3:6375764-6376684 REVERSE LENGTH=273

>AT3G50845 | Symbols:  | Protein of unknown function (DUF59) | chr3:18900107-18901209 REVERSE LENGTH=154

>AT3G54085 | Symbols:  | Yos1-like protein | chr3:20026780-20027016 REVERSE LENGTH=78

>AT3G17668 | Symbols: ENA | DnaJ/Hsp40 cysteine-rich domain superfamily protein | chr3:6039640-6040324 FORWARD LENGTH=135

>AT3G19508 | Symbols:  | unknown protein; LOCATED IN: mitochondrion; Has 34 Blast hits to 34 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6762378-6762696 REVERSE LENGTH=81

>AT3G19615 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 10 Blast hits to 10 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6815073-6815354 REVERSE LENGTH=93
